Holiday Inn Express Vinings SmyrnaVinings zone|Atlanta,Holiday Inn Express Hotel & Suites Dunwoody Atlanta (Georgia),0.568421052632
Holiday Inn Hotel and Suites|Atlanta,Holiday Inn Midtown Atlanta (Georgia),0.612244897959
Homestead Suites Smyrna|Atlanta,Homestead Studio Suites Perimeter Atlanta (Georgia),0.597014925373
Hometown Inn MariettaCanton|Atlanta,Hampton Inn Downtown Atlanta,0.595744680851
Atlanta MariettaVinings La Quinta|Atlanta,Marriott Marquis Hotel Atlanta,0.536585365854
Hotel Palomar|Atlanta,Marriott Marquis Hotel Atlanta,0.434782608696
|Atlanta,,0.0
OR|Atlanta,Artmore Hotel Atlanta,0.444444444444
OR|Atlanta,Artmore Hotel Atlanta,0.444444444444
as per email from hotwire customer service|Atlanta,Marriott Hotel Perimeter Center Atlanta (Georgia),0.455696202532
Hotel Indigo|Atlanta,Highland Inn Atlanta (Georgia),0.413793103448
or|Atlanta,Artmore Hotel Atlanta,0.444444444444
Regency Suites|Atlanta,Regency Suites Hotel Atlanta (Georgia),0.7
Marriott Norcross|Atlanta,Marriott Marquis Hotel Atlanta,0.666666666667
Holiday Inn|Atlanta,Holiday Inn Midtown Atlanta (Georgia),0.536585365854
Holiday Inn Select Atlanta|Atlanta,Holiday Inn Select Capitol Atlanta (Georgia),0.654545454545
Ramada Inn Newnan|Atlanta,Hampton Inn Downtown Atlanta,0.540540540541
Westin North Perimeter|Atlanta,Westin Hotel Perimeter North Atlanta (Georgia),0.607142857143
OR|Atlanta,Artmore Hotel Atlanta,0.444444444444
OR|Atlanta,Artmore Hotel Atlanta,0.444444444444
OR|Atlanta,Artmore Hotel Atlanta,0.444444444444
OR|Atlanta,Artmore Hotel Atlanta,0.444444444444
Customer Favorite|Atlanta,Comfort Suites Downtown Atlanta,0.45
OR|Atlanta,Artmore Hotel Atlanta,0.444444444444
OR|Atlanta,Artmore Hotel Atlanta,0.444444444444
OR|Atlanta,Artmore Hotel Atlanta,0.444444444444
REVIEW|Atlanta,Loews Hotel Atlanta,0.363636363636
Doubletree Guest Suites|Atlanta,Doubletree Guest Suites Galleria Atlanta (Georgia),0.69696969697
Comfort Inn|Atlanta,Comfort Suites Downtown Atlanta,0.647058823529
Holiday Inn Select|Atlanta,Holiday Inn Select Capitol Atlanta (Georgia),0.654545454545
Amerisuites|Atlanta,Hampton Inn And Suites Galleria Atlanta,0.473684210526
OR|Atlanta,Artmore Hotel Atlanta,0.444444444444
Prime Hotel and Suites may now be a Wyndham|Atlanta,Microtel Inn and Suites Buckhead Atlanta,0.483870967742
REVIEW|Atlanta,Loews Hotel Atlanta,0.363636363636
also seen as|Atlanta,Loews Hotel Atlanta,0.470588235294
also seen as|Atlanta,Loews Hotel Atlanta,0.470588235294
Homestead Studio Suites|Atlanta,Homestead Studio Suites Perimeter Atlanta (Georgia),0.686567164179
or|Atlanta,Artmore Hotel Atlanta,0.444444444444
Hilton|Westchester County,Hampton Inn Chicago Westchester,0.32
REVIEW|Westchester County,Hampton Inn Chicago Westchester,0.08
OR|Westchester County,Hampton Inn Chicago Westchester,0.0952380952381
Hilton|Westchester County,Hampton Inn Chicago Westchester,0.32
Crown Plaza|Westchester County,Hampton Inn Chicago Westchester,0.266666666667
Hampton Inn Elsmford|Westchester County,Hampton Inn Chicago Westchester,0.666666666667
Sheraton Tarrytown|Westchester County,Hampton Inn Chicago Westchester,0.432432432432
La Quinta Inn|Westchester County,Hampton Inn Chicago Westchester,0.375
Extended StayAmerica Elmsford|Westchester County,Hampton Inn Chicago Westchester,0.291666666667
Hotel Aspen InnSuites FlagstaffGrand Canyon|Flagstaff,Ramada Hotel West Grand Canyon Flagstaff,0.641509433962
Holiday Inn East Scranton|Scranton,Days Inn Scranton,0.583333333333
Hotel Telluride|Telluride,,0.0
Holiday Inn Conference Center note different than the Holiday Inn Lakeland|Lakeland,Howard Johnson Inn Executive Center Lakeland (Florida),0.468468468468
Holiday Inn Lakeland South note different than the Holiday Inn Conference Center|Lakeland,Holiday Inn South Lakeland (Florida),0.48
Hyatt Place|Lakeland,Hyatt Place Hotel Center Lakeland (Florida),0.536585365854
La Quinta Inn and Suites|Lakeland,Country Inn & Suites Lakeland,0.7
REVIEW|Lakeland,Residence Inn Lakeland (Florida),0.266666666667
Jameson Inn|Lakeland,Jameson Inn Lakeland (Florida),0.666666666667
Four Points|Oakland-Eastbay,Hilton Hotel Airport Oakland,0.384615384615
OR|Oakland-Eastbay,Hilton Hotel Airport Oakland,0.235294117647
Hilton Pleasanton at the Club|Oakland-Eastbay,Hilton Hotel Airport Oakland,0.454545454545
OR|Oakland-Eastbay,Hilton Hotel Airport Oakland,0.235294117647
La Quinta|Oakland-Eastbay,Quality Inn Oakland,0.4
now Holiday Inn Dubline not yet reported to the board|Oakland-Eastbay,Holiday Inn Hotel & Suites Airport Oakland,0.536585365854
Extended Stay Deluxe Pleasanton upgraded to|Oakland-Eastbay,Extended Stay America Hotel Oakland (California),0.506329113924
Red Lion Templins Hotel|Post Falls,Riverbend Inn Post Falls,0.466666666667
La Quinta|Plattsburgh,La Quinta Inn & Suites Plattsburgh,0.58064516129
Red Lion|Medford,Red Lion Hotel Medford (Oregon),0.592592592593
Hilton Rockville Executive Center|Rockville - Gaithersburg,Best Western Mill River Manor Hotel Rockville Centre,0.41935483871
Sheraton Rockville King Farm|Rockville - Gaithersburg,Best Western Mill River Manor Hotel Rockville Centre,0.456140350877
OR|Rockville - Gaithersburg,Courtyard Hotel Rockville,0.363636363636
OR|Rockville - Gaithersburg,Courtyard Hotel Rockville,0.363636363636
OR|Rockville - Gaithersburg,Courtyard Hotel Rockville,0.363636363636
Holiday Inn Gaithersburg  MD|Rockville - Gaithersburg,Holiday Inn Gaithersburg,0.564102564103
Vail Cascade Resort and Spa|Vail,Cascade Resort Vail (Colorado),0.681818181818
Cedarbrook Lodge|Seattle,Econo Lodge North Seattle,0.545454545455
Doubletree Seattle Airport|Seattle,Doubletree Arctic Club Hotel Downtown Seattle,0.588235294118
or|Seattle,Moore Hotel Seattle,0.571428571429
or|Seattle,Moore Hotel Seattle,0.571428571429
Hilton Seattle Airport|Seattle,Hilton Hotel Seattle,0.571428571429
OR|Seattle,Moore Hotel Seattle,0.571428571429
OR|Seattle,Moore Hotel Seattle,0.571428571429
OR|Seattle,Moore Hotel Seattle,0.571428571429
Wyndham|Seattle,Hotel Andra Seattle,0.5
OR|Seattle,Moore Hotel Seattle,0.571428571429
Holiday Inn SeattleSEATAC Intl Airport  WA|Seattle,Econo Lodge Seatac Airport North Seattle,0.567164179104
OR|Seattle,Moore Hotel Seattle,0.571428571429
Radisson|Seattle,Renaissance Hotel Seattle,0.631578947368
Red Lion Airport|Seattle,Days Inn Aurora Seattle,0.58064516129
REVIEW|Seattle,Roosevelt Hotel Seattle,0.533333333333
now RiverSide Residences not yet reported to the board|Seattle,Econo Lodge Seatac Airport North Seattle,0.441860465116
Best Value Inn|Seattle,Sixth Avenue Inn Seattle,0.666666666667
Crossland Suites Kent|Seattle,Comfort Suites Downtown Seattle,0.545454545455
Coast Bellevue|Seattle,College Inn Seattle,0.48
La Quinta BelleveueKirkland|Seattle,La Quinta Inn & Suites Downtown Seattle,0.448275862069
Larkspur Landing|Seattle,Everspring Inn Seattle,0.466666666667
Hyatt Regency Bellevue|Seattle,Hyatt Hotel At Olive 8 Seattle,0.512820512821
different Hilton than above|Seattle,Red Lion Hotel Fifth Avenue Seattle,0.530612244898
OR|Seattle,Moore Hotel Seattle,0.571428571429
OR|Seattle,Moore Hotel Seattle,0.571428571429
OR|Seattle,Moore Hotel Seattle,0.571428571429
Doubletree|Seattle,Doubletree Arctic Club Hotel Downtown Seattle,0.47619047619
Red Lion Inn Bellevue|Seattle,Red Lion Hotel Fifth Avenue Seattle,0.651162790698
property now closed|Seattle,Courtyard Hotel Downtown Pioneer Square Seattle,0.452830188679
OR|Seattle,Moore Hotel Seattle,0.571428571429
OR|Seattle,Moore Hotel Seattle,0.571428571429
Extended Stay Deluxe|Seattle,Extended Stay America Hotel Northgate Seattle,0.615384615385
OR|Seattle,Moore Hotel Seattle,0.571428571429
OR|Seattle,Moore Hotel Seattle,0.571428571429
OR|Seattle,Moore Hotel Seattle,0.571428571429
OR|Seattle,Moore Hotel Seattle,0.571428571429
Customer Favorite|Seattle,Comfort Inn & Suites Seattle,0.486486486486
OR|Seattle,Moore Hotel Seattle,0.571428571429
OR|Seattle,Moore Hotel Seattle,0.571428571429
OR|Seattle,Moore Hotel Seattle,0.571428571429
OR|Seattle,Moore Hotel Seattle,0.571428571429
OR|Seattle,Moore Hotel Seattle,0.571428571429
OR|Seattle,Moore Hotel Seattle,0.571428571429
Customer Favorite|Seattle,Comfort Inn & Suites Seattle,0.486486486486
OR|Seattle,Moore Hotel Seattle,0.571428571429
OR|Seattle,Moore Hotel Seattle,0.571428571429
OR|Seattle,Moore Hotel Seattle,0.571428571429
OR|Seattle,Moore Hotel Seattle,0.571428571429
OR|Seattle,Moore Hotel Seattle,0.571428571429
or|Seattle,Moore Hotel Seattle,0.571428571429
th Ave|Seattle,Sixth Avenue Inn Seattle,0.545454545455
also|Seattle,Alexis Hotel Seattle,0.6
also|Seattle,Alexis Hotel Seattle,0.6
also|Seattle,Alexis Hotel Seattle,0.6
also|Seattle,Alexis Hotel Seattle,0.6
also|Seattle,Alexis Hotel Seattle,0.6
also|Seattle,Alexis Hotel Seattle,0.6
OR|Seattle,Moore Hotel Seattle,0.571428571429
OR|Seattle,Moore Hotel Seattle,0.571428571429
OR|Seattle,Moore Hotel Seattle,0.571428571429
Amenities Boutique  Restaurant  Fitness  HiSpeed Internet  Business|Seattle,Quality Inn & Suites Center Seattle,0.404255319149
now Homewood Suites Convention CenterPike Street not yet reported to the board|Seattle,Homewood Suites Downtown Seattle,0.411764705882
OR|Seattle,Moore Hotel Seattle,0.571428571429
REVIEW|Seattle,Roosevelt Hotel Seattle,0.533333333333
OR|Seattle,Moore Hotel Seattle,0.571428571429
Pan Pacific in Space Needle zone|Seattle,Travelodge Hotel Space Needle Seattle,0.535714285714
REVIEW|Seattle,Roosevelt Hotel Seattle,0.533333333333
Best Western Plaza by the Green|Seattle,Best Western Loyal Inn Seattle,0.641509433962
Embassy Suites|Seattle,Homewood Suites Seattle,0.551724137931
West Valley Highway|Seattle,Best Western Loyal Inn Seattle,0.439024390244
Courtyard SeaTac West Valley Highway|Seattle,Courtyard Hotel Downtown Lake Union Seattle,0.545454545455
now just Holiday Inn no longer Select|Seattle,Holiday Inn Express Hotel & Suites City Center Seattle,0.487179487179
REVIEW|Seattle,Roosevelt Hotel Seattle,0.533333333333
Clarion|Seattle,Paramount Hotel Seattle,0.5
Extended Stay Deluxe Renton|Seattle,Extended Stay America Hotel Northgate Seattle,0.610169491525
OR|Seattle,Moore Hotel Seattle,0.571428571429
REVIEW|Seattle,Roosevelt Hotel Seattle,0.533333333333
La Quinta|Branson,Lakeview Inn Branson West,0.47619047619
Ramada Inn|Branson,Days Inn Branson,0.666666666667
Best Western|Ocala,Best Western Park Centre Hotel Ocala,0.666666666667
REVIEW|Laughlin,Edgewater Hotel Laughlin,0.4
OR|Allentown,Comfort Suites Allentown,0.25
Lehigh Valley|Allentown,Holiday Inn Lehigh Valley Allentown,0.684210526316
Best Western Lehigh Valley|Allentown,Best Western Inn & Suites Allentown,0.627450980392
Wyndham Hotel|Burlington,Rodeway Inn South Burlington,0.333333333333
OR|Burlington,Courtyard Hotel Burlington (North Carolina),0.363636363636
Sheraton|Burlington,Hilton Hotel Burlington (Vermont),0.571428571429
OR|Burlington,Courtyard Hotel Burlington (North Carolina),0.363636363636
Vermont Maple Inn|Burlington,Americas Best Value Inn Burlington (Colorado),0.55
Amerihost Inn|Hammond,Comfort Inn Hammond (Louisiana),0.583333333333
Days Inn|Altoona,Ramada Inn Altoona (Pennsylvania),0.666666666667
Wingate Lake George|Glens Falls - Lake George,Marine Village Resort Lake George,0.55
Georgian Resort and Conference Center|Glens Falls - Lake George,Georgian Resort Lake George,0.625
Howard Johnson Tiki Resort|Glens Falls - Lake George,Howard Johnson Hotel Lake George,0.7
Best Western of Lake George|Glens Falls - Lake George,Best Western Hotel Lake George,0.615384615385
Super|Colorado Springs,Super 8 Motel Colorado Springs,0.555555555556
OR|Colorado Springs,The Broadmoor Hotel Colorado Springs,0.266666666667
Bradford Homesuites|Colorado Springs,Candlewood Suites Colorado Springs,0.611111111111
OR|Colorado Springs,The Broadmoor Hotel Colorado Springs,0.266666666667
OR|Colorado Springs,The Broadmoor Hotel Colorado Springs,0.266666666667
Doubletree|Colorado Springs,Doubletree Hotel World Arena Colorado Springs,0.606060606061
OR|Colorado Springs,The Broadmoor Hotel Colorado Springs,0.266666666667
Clarion|Colorado Springs,Clarion Hotel Downtown Colorado Springs,0.583333333333
REVIEW|Kerrville,Americas Best Value Inn Kerrville,0.275862068966
Holiday Inn|Minneapolis,Holiday Inn Metrodome Minneapolis,0.6875
Candlewood Suites|Minneapolis,Comfort Suites Minneapolis,0.645161290323
La Quinta Airport|Minneapolis,Eitel Building Apartments Minneapolis,0.47619047619
Grand Lodge|Minneapolis,Econo Lodge Minneapolis,0.636363636364
this is different than the Hilton at|Minneapolis,Holiday Inn Express Hotel & Suites Downtown Minneapolis,0.432432432432
OR|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
Radisson Bloomington by Mall of America|Minneapolis,Sheraton Bloomington Hotel South Minneapolis,0.575757575758
Country Inn and Suites at Mall of America|Minneapolis,Holiday Inn Express Hotel & Suites Golden Valley Minneapolis,0.475
American Blvd East|Minneapolis,Marriott Hotel West Minneapolis,0.5
|Minneapolis,,0.0
OR|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
OR|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
Ramada Mall of America|Minneapolis,Ramada Plaza Hotel Minneapolis,0.588235294118
Amer Blvd|Minneapolis,Econo Lodge Minneapolis,0.4
OR|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
Sofitel|Minneapolis,Aloft Hotel Minneapolis,0.5
OR|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
Green Valley Dr|Minneapolis,Residence Inn Depot Minneapolis,0.411764705882
OR|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
or|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
Le Bourget Aero Suites|Minneapolis,Doubletree Guest Suites Minneapolis,0.577777777778
REVIEW|Minneapolis,Graves 601 Hotel Minneapolis,0.375
Clarion Airport|Minneapolis,Radisson University Hotel Minneapolis,0.470588235294
Park Plaza|Minneapolis,Ramada Plaza Hotel Minneapolis,0.636363636364
Hampton Inn|Minneapolis,Sheraton Midtown Hotel Minneapolis,0.592592592593
Crowne Plaza|Minneapolis,Radisson Plaza Hotel Minneapolis,0.692307692308
OR|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
Grand Rios Water Park|Minneapolis,Lakeland Inn St. Louis Park Minneapolis,0.5
Holiday Inn Select hotel is now a Crowne Plaza  unknown Hotwire participant|Minneapolis,Holiday Inn Express Hotel & Suites Downtown Minneapolis,0.481481481481
Holiday Inn|Minneapolis,Holiday Inn Metrodome Minneapolis,0.6875
LivInn Suites|Minneapolis,Comfort Suites Minneapolis,0.518518518519
Hilton Minneapolis and Towers|Minneapolis,Hilton Hotel Minneapolis,0.6
OR|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
OR|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
OR|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
OR|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
W Hotel Minneapolis at the Foshay|Minneapolis,W Hotel Foshay Minneapolis,0.692307692308
OR|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
OR|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
OR|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
Comfort Suites not yet reported to the board|Minneapolis,Comfort Suites Minneapolis,0.48275862069
Pilot Knob Rd previous|Minneapolis,Eitel Building Apartments Minneapolis,0.425531914894
OR|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
Hampton Inn|Minneapolis,Sheraton Midtown Hotel Minneapolis,0.592592592593
OR|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
Springhill Suites|Minneapolis,Comfort Suites Minneapolis,0.516129032258
Country Inn and Suites|Minneapolis,Comfort Suites Minneapolis,0.625
Amerisuites|Minneapolis,Comfort Suites Minneapolis,0.64
REVIEW|Minneapolis,Graves 601 Hotel Minneapolis,0.375
or|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
OR|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
Springhill Suites|Minneapolis,Comfort Suites Minneapolis,0.516129032258
OR|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
OR|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
Extended Stay America|Minneapolis,Le Meridien Chambers Hotel Minneapolis,0.439024390244
Homestead Suites|Minneapolis,Comfort Suites Minneapolis,0.666666666667
Grand Rios Water Park|Minneapolis,Lakeland Inn St. Louis Park Minneapolis,0.5
La Quinta Inn and Suites|Minneapolis,Best Western Normandy Inn & Suites Minneapolis,0.518518518519
Livinn Suites Fridley|Minneapolis,Holiday Inn Express Hotel & Suites Golden Valley Minneapolis,0.53125
Crowne Plaza Riverfront|Minneapolis,Crowne Plaza Hotel Northstar Downtown Minneapolis,0.654545454545
Best Western Kelly Inn|Minneapolis,Best Western Normandy Inn & Suites Minneapolis,0.642857142857
Holiday Inn RiverCenter|Minneapolis,Holiday Inn Metrodome Minneapolis,0.681818181818
Rasisson City Center Hotel Saint Paul|Minneapolis,Marriott Hotel City Center Minneapolis,0.566037735849
Clarion Hotel|Minneapolis,Hilton Hotel Minneapolis,0.461538461538
St Paul Hotel and Conference center|Minneapolis,Marriott Hotel City Center Minneapolis,0.468085106383
Four Points Sheraton|Minneapolis,Sheraton Midtown Hotel Minneapolis,0.444444444444
Sheraton Minneapolis West|Minneapolis,Sheraton Midtown Hotel Minneapolis,0.666666666667
Springhill Suites St Louis Park|Minneapolis,Lakeland Inn St. Louis Park Minneapolis,0.620689655172
OR|Minneapolis,Aloft Hotel Minneapolis,0.285714285714
Best Western Regency Plaza|Minneapolis,Best Western Normandy Inn & Suites Minneapolis,0.566666666667
Country Inn|Minneapolis,University Inn Minneapolis,0.64
Americinn Lodge and Suites|Minneapolis,Econo Lodge Minneapolis,0.545454545455
LivInn Suites Maplewood|Minneapolis,Holiday Inn Express Hotel & Suites Downtown Minneapolis,0.491803278689
Park Hyatt|Kennedy Center - GW University,Westmark Inn Skagway,0.363636363636
Swissotel Watergate|Kennedy Center - GW University,Best Western Regent Inn Mansfield Center,0.428571428571
Lombardy Hotel|Kennedy Center - GW University,Ramada Inn Richland Center,0.333333333333
Westin Grand|Kennedy Center - GW University,Westmark Inn Skagway,0.583333333333
Melrose Hotel|Kennedy Center - GW University,Heldreth Motel Kingwood (West Virginia),0.47619047619
George Washington University Inn|Kennedy Center - GW University,Preston County Inn Kingwood (West Virginia),0.6
Pocono Inne Town Magnuson|Mt Pocono,Econo Lodge Inn & Suites Binghamton,0.489795918367
Boulder Highway this is more recent than above  but not sure if different properties or same with a downgrade|Las Vegas,Holiday Inn Express Hotel & Suites Beltway Las Vegas,0.342465753425
Green Valley Resort|Las Vegas,Royal Resort Las Vegas,0.645161290323
Loews Lake Las Vegas|Las Vegas,Alexis Park Resort Hotel Las Vegas,0.5
Hawthorn Inn and Suites|Las Vegas,Hampton Inn & Suites Airport Las Vegas,0.68085106383
Holiday Inn Boulder Hwy  Henderson|Las Vegas,Holiday Inn Express West Las Vegas,0.620689655172
Wingate Inn Henderson|Las Vegas,Residence Inn Hughes Center Las Vegas,0.541666666667
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
Customer Favorite|Las Vegas,Summer Bay Resort Las Vegas,0.529411764706
Amenities Casino  Restaurant  Pool  Fitness  HiSpeed Internet  Business  Golf  Tennis  Spa|Las Vegas,Best Western Montezuma Inn & Suites Las Vegas (New Mexico),0.368
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
Tuscany|Las Vegas,Tuscany Suites Las Vegas,0.666666666667
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
South Point South Coast|Las Vegas,South Point Hotel Las Vegas,0.647058823529
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
REVIEW|Las Vegas,Grandview Hotel Las Vegas,0.666666666667
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
Rio|Las Vegas,Clarion Hotel Las Vegas,0.6
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
Las Vegas Cay Club Desert Tides Resort|Las Vegas,Desert Rose Resort Las Vegas,0.652173913043
REVIEW|Las Vegas,Grandview Hotel Las Vegas,0.666666666667
REVIEW|Las Vegas,Grandview Hotel Las Vegas,0.666666666667
Palazzo|Las Vegas,Palazzo Resort Hotel Las Vegas,0.666666666667
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
Customer Favorite|Las Vegas,Summer Bay Resort Las Vegas,0.529411764706
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
OR|Las Vegas,Luxor Hotel Las Vegas,0.571428571429
REVIEW|Las Vegas,Grandview Hotel Las Vegas,0.666666666667
